SLIDE,ERROR_COUNT,TOTAL_PATTERNS,ACCEPTED_PATTERNS,REJECTED_PATTERNS,MISIDENTIFIED_PATTERNS,WORST_MARGIN,VERDICT
0x15c000,1,8,8,0,0,7,ROBUST
0x15c000,2,28,28,0,0,6,ROBUST
0x15c000,3,56,56,0,0,5,ROBUST
0x160000,1,8,8,0,0,7,ROBUST
0x160000,2,28,28,0,0,6,ROBUST
0x160000,3,56,56,0,0,5,ROBUST
0x164000,1,8,8,0,0,7,ROBUST
0x164000,2,28,28,0,0,6,ROBUST
0x164000,3,56,56,0,0,5,ROBUST
0x168000,1,8,8,0,0,7,ROBUST
0x168000,2,28,28,0,0,6,ROBUST
0x168000,3,56,56,0,0,5,ROBUST
0x16c000,1,8,8,0,0,7,ROBUST
0x16c000,2,28,28,0,0,6,ROBUST
0x16c000,3,56,56,0,0,5,ROBUST
0x170000,1,8,8,0,0,7,ROBUST
0x170000,2,28,28,0,0,6,ROBUST
0x170000,3,56,56,0,0,5,ROBUST
0x174000,1,8,8,0,0,6,ROBUST
0x174000,2,28,28,0,0,5,ROBUST
0x174000,3,56,56,0,0,4,ROBUST
0x178000,1,8,8,0,0,7,ROBUST
0x178000,2,28,28,0,0,6,ROBUST
0x178000,3,56,56,0,0,5,ROBUST
0x17c000,1,8,8,0,0,7,ROBUST
0x17c000,2,28,28,0,0,6,ROBUST
0x17c000,3,56,56,0,0,5,ROBUST
0x180000,1,8,8,0,0,6,ROBUST
0x180000,2,28,28,0,0,5,ROBUST
0x180000,3,56,56,0,0,4,ROBUST
0x184000,1,8,8,0,0,6,ROBUST
0x184000,2,28,28,0,0,5,ROBUST
0x184000,3,56,56,0,0,4,ROBUST
0x188000,1,8,8,0,0,7,ROBUST
0x188000,2,28,28,0,0,6,ROBUST
0x188000,3,56,56,0,0,5,ROBUST
0x18c000,1,8,8,0,0,7,ROBUST
0x18c000,2,28,28,0,0,6,ROBUST
0x18c000,3,56,56,0,0,5,ROBUST
0x190000,1,8,8,0,0,7,ROBUST
0x190000,2,28,28,0,0,6,ROBUST
0x190000,3,56,56,0,0,5,ROBUST
0x194000,1,8,8,0,0,6,ROBUST
0x194000,2,28,28,0,0,5,ROBUST
0x194000,3,56,56,0,0,4,ROBUST
0x198000,1,8,8,0,0,7,ROBUST
0x198000,2,28,28,0,0,6,ROBUST
0x198000,3,56,56,0,0,5,ROBUST
0x19c000,1,8,8,0,0,7,ROBUST
0x19c000,2,28,28,0,0,6,ROBUST
0x19c000,3,56,56,0,0,5,ROBUST
0x1a0000,1,8,8,0,0,7,ROBUST
0x1a0000,2,28,28,0,0,6,ROBUST
0x1a0000,3,56,56,0,0,5,ROBUST
0x1a4000,1,8,8,0,0,7,ROBUST
0x1a4000,2,28,28,0,0,6,ROBUST
0x1a4000,3,56,56,0,0,5,ROBUST
0x1a8000,1,8,8,0,0,7,ROBUST
0x1a8000,2,28,28,0,0,6,ROBUST
0x1a8000,3,56,56,0,0,5,ROBUST
0x1ac000,1,8,8,0,0,6,ROBUST
0x1ac000,2,28,28,0,0,5,ROBUST
0x1ac000,3,56,56,0,0,4,ROBUST
0x1b0000,1,8,8,0,0,7,ROBUST
0x1b0000,2,28,28,0,0,6,ROBUST
0x1b0000,3,56,56,0,0,5,ROBUST
0x1b4000,1,8,8,0,0,7,ROBUST
0x1b4000,2,28,28,0,0,6,ROBUST
0x1b4000,3,56,56,0,0,5,ROBUST
0x1b8000,1,8,8,0,0,6,ROBUST
0x1b8000,2,28,28,0,0,5,ROBUST
0x1b8000,3,56,56,0,0,4,ROBUST
0x1bc000,1,8,8,0,0,5,ROBUST
0x1bc000,2,28,28,0,0,4,ROBUST
0x1bc000,3,56,56,0,0,3,ROBUST
0x1c0000,1,8,8,0,0,7,ROBUST
0x1c0000,2,28,28,0,0,6,ROBUST
0x1c0000,3,56,56,0,0,5,ROBUST
0x1c4000,1,8,8,0,0,6,ROBUST
0x1c4000,2,28,28,0,0,5,ROBUST
0x1c4000,3,56,56,0,0,4,ROBUST
0x1c8000,1,8,8,0,0,6,ROBUST
0x1c8000,2,28,28,0,0,5,ROBUST
0x1c8000,3,56,56,0,0,4,ROBUST
0x1cc000,1,8,8,0,0,7,ROBUST
0x1cc000,2,28,28,0,0,6,ROBUST
0x1cc000,3,56,56,0,0,5,ROBUST
0x1d0000,1,8,8,0,0,7,ROBUST
0x1d0000,2,28,28,0,0,6,ROBUST
0x1d0000,3,56,56,0,0,5,ROBUST
0x1d4000,1,8,8,0,0,7,ROBUST
0x1d4000,2,28,28,0,0,6,ROBUST
0x1d4000,3,56,56,0,0,5,ROBUST
0x1d8000,1,8,8,0,0,7,ROBUST
0x1d8000,2,28,28,0,0,6,ROBUST
0x1d8000,3,56,56,0,0,5,ROBUST
0x1dc000,1,8,8,0,0,6,ROBUST
0x1dc000,2,28,28,0,0,5,ROBUST
0x1dc000,3,56,56,0,0,4,ROBUST
0x1e0000,1,8,8,0,0,6,ROBUST
0x1e0000,2,28,28,0,0,5,ROBUST
0x1e0000,3,56,56,0,0,4,ROBUST
0x1e4000,1,8,0,8,0,0,SAFE_REJECTION
0x1e4000,2,28,0,28,0,0,SAFE_REJECTION
0x1e4000,3,56,0,56,0,0,SAFE_REJECTION
0x1e8000,1,8,0,8,0,0,SAFE_REJECTION
0x1e8000,2,28,0,28,0,0,SAFE_REJECTION
0x1e8000,3,56,0,56,0,0,SAFE_REJECTION
0x1ec000,1,8,0,8,0,0,SAFE_REJECTION
0x1ec000,2,28,0,28,0,0,SAFE_REJECTION
0x1ec000,3,56,0,56,0,0,SAFE_REJECTION
0x1f0000,1,8,0,8,0,0,SAFE_REJECTION
0x1f0000,2,28,0,28,0,0,SAFE_REJECTION
0x1f0000,3,56,0,56,0,0,SAFE_REJECTION
